"X";"Well";"WellType";"Replicate";"ThresholddRn";"CtdRn";"Quantitycopies";"RSqdRn";"SlopedRn";"qPCRno";"ProjectNm";"AssIDNo";"spcabbr";"pltno";"qpcrmach";"qpcrrundate";"replno";"smplno";"templvol";"Fixated";"bufferadded";"inctmp";"inctime";"Typesmpl";"templ.vol2";"smplno2";"col.06"
"85";85;"E10";"Unknown";21;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";21;"FNE013";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE013";NA
"86";86;"E11";"Unknown";21;0.1427;40.13;1.28;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";21;"FNE013";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE013";NA
"87";87;"E12";"Unknown";21;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";21;"FNE013";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE013";NA
"88";88;"F10";"Unknown";22;0.1427;40.4;1.07;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";22;"FNE014";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE014";NA
"89";89;"F11";"Unknown";22;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";22;"FNE014";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE014";NA
"90";90;"F12";"Unknown";22;0.1427;NA;NA;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";22;"FNE014";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE014";NA
"91";91;"G10";"Unknown";23;0.1427;39.17;2.43;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";23;"FNE015";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE015";NA
"92";92;"G11";"Unknown";23;0.1427;38.3;4.36;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";23;"FNE015";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE015";NA
"93";93;"G12";"Unknown";23;0.1427;38.65;3.46;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";23;"FNE015";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE015";NA
"94";94;"H10";"Unknown";24;0.1427;23.47;91520;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";24;"FNE016";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE016";NA
"95";95;"H11";"Unknown";24;0.1427;23.67;80020;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";24;"FNE016";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE016";NA
"96";96;"H12";"Unknown";24;0.1427;23.75;76130;0.99;-3.432;"qPCR0896";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate01";"mxpro";"qpcrrundate20210920 - Text Report Data";24;"FNE016";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE016";NA
"97";1;"A1";"Standard";1;0.2167;25.82;30000;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";1;"3E4";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"98";2;"A2";"Standard";1;0.2167;25.95;30000;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";1;"3E4";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"99";3;"A3";"Standard";1;0.2167;25.77;30000;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";1;"3E4";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"100";4;"B1";"Standard";2;0.2167;29.74;3000;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";2;"3E3";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"101";5;"B2";"Standard";2;0.2167;29.67;3000;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";2;"3E3";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"102";6;"B3";"Standard";2;0.2167;29.47;3000;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";2;"3E3";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"103";7;"C1";"Standard";3;0.2167;32.78;300;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";3;"3E2";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"104";8;"C2";"Standard";3;0.2167;32.97;300;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";3;"3E2";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"105";9;"C3";"Standard";3;0.2167;32.95;300;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";3;"3E2";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"106";10;"D1";"Standard";4;0.2167;36.87;30;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";4;"3E1";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"107";11;"D2";"Standard";4;0.2167;36.28;30;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";4;"3E1";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"108";12;"D3";"Standard";4;0.2167;36.54;30;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";4;"3E1";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"109";13;"E1";"Standard";5;0.2167;39.66;3;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";5;"3E0";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"110";14;"E2";"Standard";5;0.2167;41.04;3;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";5;"3E0";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"111";15;"E3";"Standard";5;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";5;"3E0";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"112";16;"F1";"Standard";6;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";6;"3E-1";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"113";17;"F2";"Standard";6;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";6;"3E-1";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"114";18;"F3";"Standard";6;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";6;"3E-1";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"115";19;"G1";"Standard";7;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";7;"3E-2";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"116";20;"G2";"Standard";7;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";7;"3E-2";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"117";21;"G3";"Standard";7;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";7;"3E-2";"3uL";NA;NA;NA;NA;NA;3;"Standard";"#000000"
"118";22;"H1";"NTC";8;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";8;"NTC";"3uL";NA;NA;NA;NA;NA;3;"NTC";"#DF536B"
"119";23;"H2";"NTC";8;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";8;"NTC";"3uL";NA;NA;NA;NA;NA;3;"NTC";"#DF536B"
"120";24;"H3";"NTC";8;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";8;"NTC";"3uL";NA;NA;NA;NA;NA;3;"NTC";"#DF536B"
"121";25;"A4";"Unknown";9;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";9;"FNE009";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE009";NA
"122";26;"A5";"Unknown";9;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";9;"FNE009";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE009";NA
"123";27;"A6";"Unknown";9;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";9;"FNE009";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"Boette - konsentrat";3;"FNE009";NA
"124";28;"B4";"Unknown";10;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";10;"FNE010";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE010";NA
"125";29;"B5";"Unknown";10;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";10;"FNE010";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE010";NA
"126";30;"B6";"Unknown";10;0.2167;40.94;1.89;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";10;"FNE010";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE010";NA
"127";31;"C4";"Unknown";11;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";11;"FNE011";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE011";NA
"128";32;"C5";"Unknown";11;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";11;"FNE011";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE011";NA
"129";33;"C6";"Unknown";11;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";11;"FNE011";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE011";NA
"130";34;"D4";"Unknown";12;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE012";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE012";NA
"131";35;"D5";"Unknown";12;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE012";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE012";NA
"132";36;"D6";"Unknown";12;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";12;"FNE012";"3uL";"0.5 RNA";"1.0 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE012";NA
"133";37;"E4";"Unknown";13;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE013";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE013";NA
"134";38;"E5";"Unknown";13;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE013";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE013";NA
"135";39;"E6";"Unknown";13;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";13;"FNE013";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE013";NA
"136";40;"F4";"Unknown";14;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE014";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE014";NA
"137";41;"F5";"Unknown";14;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE014";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE014";NA
"138";42;"F6";"Unknown";14;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";14;"FNE014";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE014";NA
"139";43;"G4";"Unknown";15;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE015";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE015";NA
"140";44;"G5";"Unknown";15;0.2167;46.64;0.0486;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE015";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE015";NA
"141";45;"G6";"Unknown";15;0.2167;NA;NA;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";15;"FNE015";"3uL";"1.0 RNA";"0.5 mL RNAgem";"75C";"15_minutes";"Boette - konsentrat";3;"FNE015";NA
"142";46;"H4";"Unknown";16;0.2167;24.22;86880;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";16;"FNE016";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE016";NA
"143";47;"H5";"Unknown";16;0.2167;24.82;59010;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";16;"FNE016";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE016";NA
"144";48;"H6";"Unknown";16;0.2167;24.9;56390;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";16;"FNE016";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE016";NA
"145";49;"A7";"Unknown";17;0.2167;24.94;54640;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";17;"FNE017";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE017";NA
"146";50;"A8";"Unknown";17;0.2167;24.99;52980;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";17;"FNE017";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE017";NA
"147";51;"A9";"Unknown";17;0.2167;25.16;47680;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";17;"FNE017";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE017";NA
"148";52;"A10";"Unknown";17;0.2167;24.94;54850;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";17;"FNE017";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE017";NA
"149";53;"A11";"Unknown";17;0.2167;25.19;46730;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";17;"FNE017";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE017";NA
"150";54;"A12";"Unknown";17;0.2167;25.16;47720;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";17;"FNE017";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE017";NA
"151";55;"B7";"Unknown";18;0.2167;24.35;79830;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";18;"FNE018";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE018";NA
"152";56;"B8";"Unknown";18;0.2167;24.63;67000;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";18;"FNE018";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE018";NA
"153";57;"B9";"Unknown";18;0.2167;25.43;39930;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";18;"FNE018";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE018";NA
"154";58;"B10";"Unknown";18;0.2167;25.45;39580;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";18;"FNE018";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE018";NA
"155";59;"B11";"Unknown";18;0.2167;25.82;31150;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";18;"FNE018";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE018";NA
"156";60;"B12";"Unknown";18;0.2167;25.51;38120;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";18;"FNE018";"3uL";"ATL";"add ATL as usual w heat incub";"56C";"4_hours";"1/100";3;"FNE018";NA
"157";61;"C7";"Unknown";19;0.2167;25.13;48590;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";19;"FNE019";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE019";NA
"158";62;"C8";"Unknown";19;0.2167;25.03;51650;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";19;"FNE019";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE019";NA
"159";63;"C9";"Unknown";19;0.2167;24.98;53260;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";19;"FNE019";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE019";NA
"160";64;"C10";"Unknown";19;0.2167;25.03;51750;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";19;"FNE019";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE019";NA
"161";65;"C11";"Unknown";19;0.2167;25.15;47820;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";19;"FNE019";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE019";NA
"162";66;"C12";"Unknown";19;0.2167;25.1;49490;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";19;"FNE019";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE019";NA
"163";67;"D7";"Unknown";20;0.2167;24.68;64740;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";20;"FNE020";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE020";NA
"164";68;"D8";"Unknown";20;0.2167;24.98;53380;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";20;"FNE020";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE020";NA
"165";69;"D9";"Unknown";20;0.2167;24.95;54590;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";20;"FNE020";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE020";NA
"166";70;"D10";"Unknown";20;0.2167;25.12;48760;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";20;"FNE020";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE020";NA
"167";71;"D11";"Unknown";20;0.2167;25.01;52310;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";20;"FNE020";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE020";NA
"168";72;"D12";"Unknown";20;0.2167;24.93;55030;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";20;"FNE020";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE020";NA
"169";73;"E7";"Unknown";21;0.2167;24.9;56180;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";21;"FNE021";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE021";NA
"170";74;"E8";"Unknown";21;0.2167;24.85;58010;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";21;"FNE021";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE021";NA
"171";75;"E9";"Unknown";21;0.2167;25;52750;0.996;-3.585;"qPCR0897";"NorskFiskeeDNA";"AssID00";"Esoluc";"plate02";"mxpro";"qpcrrundate20210920 - Text Report Data";21;"FNE021";"3uL";"ATL";"add ATL no heat incub";"22C";"4_hours";"1/100";3;"FNE021";NA
